!!SBtab TableType='Proteomaps'
!ProteinIdentifier	!Abundance
LIC11641	161.7548817186
LIC13363	29.9407600572
LIC13368	30.4225140245
LIC13367	969.0475485691
LIC11637	903.1266567147
LIC11633	248.791189927
LIC11634	400.5502684054
LIC11635	290.5043765134
LIC11636	448.920160809
LIC13351	345.3075740414
LIC13353	281.8301904398
LIC11630	760.4595122644
LIC11632	10.4439825595
LIC13354	18.9764237203
LIC13356	59.3505857587
LIC13359	29.3326390836
LIC11668	42.8034556919
LIC12263	1424.3242642654
LIC12269	100.730929804
LIC12268	89.1050338191
LIC12262	45.4698563627
LIC11656	61.5344439745
LIC11655	442.0045011026
LIC11658	80.8242284625
LIC11657	134.9161223276
LIC11659	40.2284256621
LIC12275	553.2865255343
LIC12277	134.3635053723
LIC12276	170.5749779757
LIC11650	31.4394669326
LIC12279	83.3376587024
LIC11652	2132.6944491756
LIC11653	444.0776256806
LIC11654	62.8208417415
LIC12273	435.6529822668
LIC11687	1129.2158769274
LIC11684	34.8673020687
LIC11685	432.2501899012
LIC12289	847.7157951093
LIC12288	153.4242596464
LIC11682	9.4080346239
LIC12287	1338.0984254616
LIC12285	297.2101989427
LIC12282	7.9706793534
LIC11677	50.2170535261
LIC11674	186.2706181714
LIC13397	278.5414062257
LIC11675	86.8138543203
LIC11676	211.2909573015
LIC13399	424.0201016053
LIC11670	26.4496218137
LIC11671	59.2520557444
LIC12298	213.0384631874
LIC11672	370.9138577704
LIC12293	5.6011352408
LIC12292	278.4793365262
LIC12295	19.8054306879
LIC12294	634.7598320123
LIC13392	773.2000753461
LIC13393	2821.9473288996
LIC12291	113.5275023087
LIC13394	89.3202679145
LIC13395	410.6712093364
LIC12290	23.0307692921
LIC12339	9.9613613559
LIC12337	173.2953396181
LIC11270	49.9415052119
LIC11271	59.1700544885
LIC11274	1954.035355819
LIC11273	223.0416402096
LIC11278	112.7435158884
LIC11277	159.6889599201
LIC10950	14.3319102943
LIC10952	90.8685411018
LIC12725	668.9049793278
LIC10955	188.0201440877
LIC12727	25.6435771465
LIC10958	673.8462181943
LIC12726	73.5077112599
LIC12332	51.2868238875
LIC12331	84.6304017177
LIC10959	326.6592990164
LIC12335	935.8782020085
LIC12334	48.9828197952
LIC12333	42.788060084
LIC12326	1161.0745196585
LIC12327	418.3185225862
LIC12328	1050.2004217089
LIC11280	132.6866238129
LIC11285	147.351851825
LIC11284	299.0992699071
LIC12730	353.3868975298
LIC11289	15.4708105716
LIC12731	155.8812714133
LIC11288	22.0422899243
LIC12734	101.3434605294
LIC12733	580.2051191432
LIC10947	464.2684712685
LIC12738	63.2267967696
LIC12737	194.2622885758
LIC12739	2703.8669140977
LIC12321	90.5657862959
LIC10949	159.0360291913
