K02040	PstS
K15627	-
K15620	-
K15623	-
b1482	OsmC
K13667	-
K11164	-
K11165	-
YNL126W	-
K01109	-
K01464	HyuA
K01465	PyrC
K01462	Def
K01463	-
K01460	Gss
K01468	-
K01469	-
K01139	SpoT
K09254	-
K09257	-
K09256	-
K09250	-
K09253	-
K05669	-
K09258	-
Q5JWF8	-
K05013	-
K08024	-
K05546	-
K02045	CysA
K02044	PhnD
K05543	-
K05542	-
K02048	Sbp
K02048	CysP
K05019	-
K11169	-
K02941	-
K05662	-
K02945	RpsA
K05666	-
K02947	-
Q562Q6	-
Q562Q5	-
Q562Q4	-
K09646	-
Q562Q2	-
Q562Q1	-
Q562Q0	-
K09648	-
Q562Q9	-
Q562Q8	-
K02016	FhuD
K02016	FecB
K02016	FepB
K10349	-
K10348	-
K00682	-
K11992	-
K11997	-
K11996	MoeB
K11999	-
K11998	-
K06787	-
K06785	-
K10578	-
K10579	-
K10576	-
K10577	-
K10574	-
K10575	-
K10572	-
K10573	-
K06788	-
K10571	-
K07562	-
K01764	-
K10712	-
K01929	MurF
K01928	MurE
K01923	PurC
K01922	-
K01921	DdlA
K01921	DdlB
K01920	GshB
K01925	MurD
K01924	MurC
K12755	-
YIL144W	-
K05838	YbbN
K15296	-
K15292	-
K15293	-
K07520	-
K00780	-
K00784	Rbn
K00787	-
K00036	Zwf
K00789	MetK
K00033	Gnd
K00030	-
K00031	Icd
K01258	PepT
K01255	PepA
K01254	-
K01257	-
K01256	PepN
K01251	-
K01250	RihA
K01253	-
K09001	AnmK
K08239	-
K08230	-
K08231	-
K08232	-
K00252	-
K00253	-
K00251	-
K00257	-
K00254	-
K00255	-
K01079	SerB
K01078	-
K01071	-
K04550	-
K04553	-
K04552	-
K04555	-
K04554	-
K01077	PhoA
K02929	-
K01062	-
K02784	PtsH
K01787	-
K01785	GalM
K01784	GalE
K01783	Rpe
K01782	FadJ
b1836	YebV
K02527	WaaA
K02256	-
K02257	-
K02523	IspB
K02520	InfC
K01061	YsgA
K02258	-
K02259	-
K02528	RsmA
K03781	KatE
K03783	-
K03782	KatG
K03785	AroD
K03784	DeoD
K03787	SurE
K03788	AphA
K13128	-
K13129	-
K13120	-
K13121	-
K13122	-
K13431	-
K13124	-
K13125	-
K13126	-
K13127	-
K03125	-
K03124	-
K03126	-
K03121	-
K03120	-
K03123	-
K08839	-
K08836	-
K08837	-
K08835	-
K03129	-
K08833	-
K08831	-
K00344	QorA
K12525	MetL
K12524	ThrA
K06578	-
K06577	-
K06571	-
K09782	-
K16066	-
K07950	-
K07951	-
K07952	-
K07953	-
K07955	-
K07956	-
K08789	-
