SPAP8A3.08	-
K04704	-
K04705	-
K04706	-
K04707	-
K01556	-
K01557	-
K01555	-
K04708	-
K04709	-
K05077	-
K05076	-
K05070	-
B4DUI8	-
K13356	-
K13355	-
K13354	-
K13353	-
K13352	-
K13351	-
K03954	-
K03955	-
K03956	-
K03957	-
K03950	-
K03951	-
K03952	-
K03953	-
K02399	b1070
K02398	b1071
K02397	b1083
K02396	b1082
K02393	b1079
K13536	-
K13535	-
K06193	b4108
K01551	-
K05658	-
AnxA2	-
AnxA5	-
K04703	-
K05655	-
K05654	-
K02977	-
K08818	-
K02607	-
K02606	-
K12330	-
K12331	-
K05653	-
K12338	-
K12339	b2421
K11687	-
K11685	b2669
K08810	-
K13823	-
K13822	-
K03043	b3987
K03040	b3295
K03046	b3988
K03105	-
K06672	-
K06670	-
K06671	-
K06676	-
K06677	-
K06674	-
K06675	-
K08814	-
K06678	-
K12488	-
YBR078W	-
K12484	-
K12486	-
K03100	b2568
K12480	-
K12481	-
K12482	-
K12483	-
K11469	-
K11468	-
K11467	-
K11465	-
K11463	-
K11462	-
K11461	-
K11460	-
K00639	b3617
K00341	b2278
K00637	-
K00631	b4041
K00632	b3845
K00632	b2342
NotMapped	-
K06499	-
MPN_EutD	-
K06497	-
K06495	-
K06492	-
K06493	-
K06490	-
K06491	-
Paa1	-
K07810	b0573
K00090	b3553
K00094	b2091
K00040	b4323
K10226	-
K10224	-
K03959	-
K04138	-
K01948	-
K01945	b4005
K01940	b3172
K01942	-
K07722	b3481
K00898	-
K00899	-
K08504	-
K00891	b3390
K00891	b0388
K00893	-
K00894	-
K00895	-
K04397	-
K04396	-
K04395	-
K04394	-
K04393	-
K04392	-
K04391	-
K04390	-
K13358	-
K04399	-
K04398	-
Q05DQ7	-
K14408	-
K14409	-
K05470	-
K02948	b3297
K04663	-
K02940	-
K05661	-
K02942	-
K02943	-
K05664	-
F5H3I4	-
K02946	b3321
K05667	-
K01831	-
K09574	-
K09575	-
K09576	-
K09577	-
K09570	-
K09571	-
K09573	-
K01760	b3008
K01763	-
K09578	-
K09579	-
K02496	b3803
K14416	-
K14411	-
K07208	-
K07209	-
K12817	-
K12816	-
K12815	-
K12813	-
K12812	-
K12811	-
K09412	-
b4376	b4376
K12819	-
K12818	-
K12189	-
K03545	b0436
K03544	b0438
K03540	-
K11499	-
K03723	b1114
K03721	b1323
K03720	b4393
K03729	-
Mtm1	-
YIL011W	-
K13144	-
K06808	-
K12670	-
K06802	-
K08890	-
K08891	-
K08892	-
K08898	-
K11096	-
K11097	-
K11094	-
K11095	-
K11092	-
K11093	-
K11090	-
K11091	-
K11098	-
K11099	-
K08762	-
K08766	-
K08764	-
K08765	-
K10411	-
K10413	-
K10415	-
K10414	-
K10417	-
K10416	-
K10419	-
K10418	-
K11320	-
K11321	-
K11322	-
K08425	-
B4DVQ0	-
K00157	-
K00156	b0871
K09381	-
K09380	-
K09387	-
K14312	-
K14313	-
K14310	-
K14311	-
K14316	-
K14317	-
K14314	-
K14315	-
K14318	-
K14319	-
K04095	b3361
K01348	-
B4DXW1	-
K07685	b2193
K07931	-
K01578	-
Q8TDG2	-
K02008	-
K05058	-
K05057	-
K02002	b2679
K13333	-
K13335	-
K13337	-
K13336	-
K13339	-
K13338	-
K15405	-
K15404	-
K15406	-
K15401	-
K15400	-
K15403	-
YJR150C	-
K02916	b1717
K12319	-
K12314	-
K12315	-
K12316	-
K12317	-
K12310	-
K12311	-
K12312	-
K03064	-
K03065	-
K03066	-
K03060	b3649
K03061	-
K03062	-
K08956	-
K11665	-
K11664	-
K11667	-
K11666	-
K03068	-
K11660	-
K11663	-
Q562S7	-
K13809	-
K13806	-
K13800	-
K09608	-
K06129	-
K06126	-
K06127	-
K09604	-
K09605	-
K09602	-
K09603	-
K01120	-
K04447	-
K04446	-
K11408	-
K01125	-
K11405	-
K11404	-
K11407	-
K11406	-
K04876	-
K04448	-
K00797	b0121
K02470	b3699
K07839	-
K07838	-
K07529	-
K07528	-
K07299	-
K07298	-
K07297	-
K07524	-
K07830	-
K07293	-
K07836	-
K07835	-
K07834	-
K10756	-
K10757	-
K10754	-
K10755	-
K10752	-
K10753	-
K10750	-
K10751	-
K10758	-
K01966	-
K01965	-
K01963	b2316
K01962	b0185
K01961	b3256
K01969	-
K01968	-
K08025	-
K07748	-
B4E3A4	-
K12489	-
K01294	-
K01297	b1192
K01296	-
K02922	-
K02923	-
K02920	-
K02921	-
K05606	-
K05607	-
K02924	-
K05605	-
K05609	-
K00214	-
K00215	b0031
K00213	-
K00219	b3081
K04515	-
K04514	-
K01740	-
K04511	-
K04510	-
K04513	-
K04512	-
K01749	b3805
K12666	-
K06819	-
K09598	-
K09596	-
K09597	-
K09594	-
K09595	-
K09592	-
K09593	-
K14432	-
K14431	-
K08180	-
K08181	-
K06816	-
K00261	-
K06817	-
K12871	-
K12870	-
K12873	-
K12872	-
K12875	-
K12874	-
K12877	-
K12876	-
K12879	-
K12878	-
K03521	-
K03522	-
K03527	b0029
K03526	b2515
K03528	b2412
K02210	-
K02211	-
K02212	-
K02213	-
K02214	-
K02216	-
K02217	b1905
K02218	-
K02219	-
K16174	-
K16175	-
K07198	-
K07199	-
K07194	-
K07195	-
K07196	-
K07190	-
K07192	-
K07995	-
K07990	-
K08744	-
K08745	-
K08746	-
K06823	-
K06822	-
K06821	-
K06820	-
K06827	-
K06826	-
K06825	-
K09832	-
K10433	-
K06829	-
K10430	-
K10436	-
K10435	-
K10434	-
K11348	-
K11349	-
K11342	-
K11343	-
K11341	-
K11346	-
K11347	-
K11344	-
K11345	-
K10696	-
K10695	-
K10694	-
K10693	-
K10691	-
K10699	-
K10698	-
K04078	b4142
K04079	b0473
K04077	b4143
K04072	b1241
K01895	b4069
K05039	-
K14840	-
K13649	-
K13645	-
K13644	-
K13646	-
K13643	b2531
K15428	-
K15422	-
A5GZ75	-
YAR050W	-
K02020	b0763
K03884	-
K03885	b1109
K03883	-
K03880	-
K03881	-
YLR286C	-
K09625	-
K03088	b4293
K03088	b2573
K03086	b3067
K03087	b2741
K03084	-
K03083	-
K13867	-
K06108	-
K12193	-
K12190	-
K12191	-
K12196	-
K12197	-
K12194	-
K12195	-
K06100	-
K06101	-
K12198	-
K12199	-
K06104	-
K06105	-
K06106	-
Q562S2	-
O94805	-
K04858	-
K04859	-
K11647	-
K11644	-
K11643	-
K11642	-
K11649	-
K11648	-
K10594	-
K10595	-
K10596	-
K10597	-
K10590	-
K10591	-
K10592	-
K10593	-
K10598	-
K10599	-
K12736	-
K12737	-
K12734	-
K12735	-
K12733	-
K12738	-
K07509	-
K07508	-
K11423	-
K11422	-
K11421	-
K11420	-
K11427	-
K11426	-
K11425	-
K11424	-
K11429	-
K11428	-
K10771	-
K10772	-
K10773	b1633
K14286	-
K10776	-
K10777	-
K10779	-
K00416	-
K01900	-
K01903	b0728
K01902	b0729
K01904	-
K01907	-
K14289	-
K01908	b0335
K00411	-
K07763	-
K08062	-
K07767	-
K07766	-
K00413	-
K05504	-
K02516	-
K04684	-
K04686	-
K04681	-
K04680	-
K04683	-
K04682	-
K04688	-
K09028	-
K09029	-
K09026	-
K02908	-
K02909	b0296
K02909	b3936
K08218	b0433
K02904	b3312
K02905	-
K08214	-
K06204	b0145
K02900	-
K08213	-
K02902	b3637
K02903	-
K00230	b3850
K00231	-
K00232	-
K00234	-
K00235	-
K00236	-
K00237	-
K00239	b0723
K04539	-
K04538	-
K04537	-
K04536	-
K04535	-
K04534	-
K04533	-
K04532	-
K01011	b1757
K01011	b2521
K14455	-
K14454	-
K14459	-
K05481	-
K05482	-
K13151	-
K13402	-
K12859	-
K12858	-
K12852	-
K12850	-
K12857	-
K12856	-
K12855	-
K12854	-
K03500	b3289
K03506	-
K03505	-
K03504	-
P62736	-
K02272	-
K02270	-
K13108	-
K13109	-
K13106	-
K13107	-
K13104	-
K13105	-
K13102	-
K13103	-
K13100	-
K13101	-
K04992	-
K12505	-
K12504	-
K12501	-
K12500	b0443
Q8WVW5	-
K11564	-
YDR130C	-
K14407	-
YDR055W	-
K06592	-
K10905	-
K10904	-
K10903	-
K10902	-
K10901	-
K10900	-
K10908	-
K09812	b3463
K09810	b1117
K11366	-
K11367	-
K11368	-
K10014	b2309
K10017	b2306
K10011	b2255
K10010	b1917
K10013	b2310
K10012	b2254
K04237	-
B4DM97	-
K15628	-
K15627	-
K15620	-
K15623	-
b1482	b1482
K13667	-
K11164	-
K11165	-
YNL126W	-
K01109	-
K01464	b2873
K01465	b1062
K01462	b3287
K01463	-
K01460	b2988
K01468	-
K01469	-
K01139	b3650
K09254	-
K09257	-
K09256	-
K09250	-
K09253	-
K05669	-
K09258	-
Q5JWF8	-
K05013	-
K08024	-
K05546	-
K02045	b2422
K02044	b4105
K05543	-
K05542	-
K02048	b3917
K02048	b2425
K05019	-
K11169	-
K02941	-
K05662	-
K02945	b0911
K05666	-
K02947	-
Q562Q6	-
Q562Q5	-
Q562Q4	-
K09646	-
Q562Q2	-
Q562Q1	-
Q562Q0	-
K09648	-
Q562Q9	-
Q562Q8	-
K02016	b4290
K02016	b0592
K02016	b0152
K10349	-
K10348	-
K00682	-
K11992	-
K11997	-
K11996	b0826
K11999	-
K11998	-
K06787	-
K06785	-
K10578	-
K10579	-
K10576	-
K10577	-
K10574	-
K10575	-
K10572	-
K10573	-
K06788	-
K10571	-
K07562	-
K01764	-
K10712	-
K01929	b0086
K01928	b0085
K01923	b2476
K01922	-
K01921	b0092
K01921	b0381
K01920	b2947
K01925	b0088
K01924	b0091
K12755	-
YIL144W	-
K05838	b0492
K15296	-
K15292	-
K15293	-
K07520	-
K00780	-
K00784	b2268
K00787	-
K00036	b1852
K00789	b2942
K00033	b2029
K00030	-
K00031	b1136
K01258	b1127
K01255	b4260
K01254	-
K01257	-
K01256	b0932
K01251	-
K01250	b0651
K01253	-
K09001	b1640
K08239	-
K08230	-
K08231	-
K08232	-
K00252	-
K00253	-
K00251	-
K00257	-
K00254	-
K00255	-
K01079	b4388
K01078	-
K01071	-
K04550	-
K04553	-
K04552	-
K04555	-
K04554	-
K01077	b0383
K02929	-
K01062	-
K02784	b2415
K01787	-
K01785	b0756
K01784	b0759
K01783	b3386
K01782	b2341
b1836	b1836
K02527	b3633
K02256	-
K02257	-
K02523	b3187
K02520	b1718
K01061	b3830
K02258	-
K02259	-
K02528	b0051
K03781	b1732
K03783	-
K03782	b3942
K03785	b1693
K03784	b4384
K03787	b2744
K03788	b4055
K13128	-
K13129	-
K13120	-
K13121	-
K13122	-
K13431	-
K13124	-
K13125	-
K13126	-
K13127	-
K03125	-
K03124	-
K03126	-
K03121	-
K03120	-
K03123	-
K08839	-
K08836	-
K08837	-
K08835	-
K03129	-
K08833	-
K08831	-
K00344	b4051
K12525	b3940
K12524	b0002
K06578	-
K06577	-
K06571	-
K09782	-
K16066	-
K07950	-
K07951	-
