Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
Organismal Systems	-RNA Family	Inf	Inf	Inf	Inf
-Immune System	-RNA Family	Inf	Inf	Inf	Inf
-Endocrine System	-RNA Family	Inf	Inf	Inf	Inf
-Circulatory System	-RNA Family	Inf	Inf	Inf	Inf
-Digestive System	-RNA Family	Inf	Inf	Inf	Inf
-Excretory System	-RNA Family	Inf	Inf	Inf	Inf
-Nervous System	-RNA Family	Inf	Inf	Inf	Inf
-Sensory System	-RNA Family	NaN	NaN	NaN	NaN
-Development	-RNA Family	Inf	Inf	Inf	Inf
-Environmental Adaptation	-RNA Family	Inf	Inf	Inf	Inf
Human Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Cancers	-RNA Family	Inf	Inf	Inf	Inf
-Immune System Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Neurodegenerative Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Metabolic Diseases	-RNA Family	NaN	NaN	NaN	NaN
-Infectious Diseases	-RNA Family	Inf	Inf	Inf	Inf
Not Mapped	-RNA Family	Inf	Inf	Inf	Inf
-Not Mapped	-RNA Family	Inf	Inf	Inf	Inf
TOTAL	Environmental Information Processing	25.86	29.63	61.97	64.94
MAPPED	Environmental Information Processing	20.16	22.77	51.26	54.05
Genetic Information Processing	Environmental Information Processing	8.013	9.351	20.99	21.61
-Transcription	Environmental Information Processing	1.021	1.163	2.681	2.622
-Translation	Environmental Information Processing	2.69	3.808	6.056	6.343
-Folding, Sorting and Degradation	Environmental Information Processing	2.694	2.704	8.746	9.05
-DNA Maintenance	Environmental Information Processing	1.608	1.676	3.274	3.617
-RNA Family	Environmental Information Processing	0	0	0	0
Environmental Information Processing	Environmental Information Processing	1	1	1	1
-Signal Transduction	Environmental Information Processing	0.3792	0.3549	0.3708	0.4126
-Signaling Molecules and Interaction	Environmental Information Processing	0.8206	0.8249	0.8412	0.7899
Cellular Processes	Environmental Information Processing	2.828	2.979	6.519	6.286
-Cell structure	Environmental Information Processing	0	0	0	0
-Crystallins	Environmental Information Processing	0	0	0	0
-Stress Response	Environmental Information Processing	0	0	0	0
-Vesicular Transport	Environmental Information Processing	0.9262	1.154	1.342	1.431
-Cytoskeleton	Environmental Information Processing	1.345	1.301	3.407	3.143
-Cell Motility	Environmental Information Processing	0	0	0	0
-Cell Growth and Death	Environmental Information Processing	0.335	0.3149	0.7894	0.891
-Cell Communication	Environmental Information Processing	0.3505	0.328	1.086	1.149
Metabolism	Environmental Information Processing	4.963	5.6	16.24	18.52
-Membrane Transport	Environmental Information Processing	0.1158	0.109	0.1359	0.1061
-Central Carbon Metabolism	Environmental Information Processing	0.7632	0.9915	4.517	5.168
-Energy Metabolism	Environmental Information Processing	0.2	0.2164	1.133	1.464
-Biosynthesis	Environmental Information Processing	1.233	1.351	3.803	4.164
-Other Enzymes	Environmental Information Processing	3.018	3.508	8.387	9.478
Organismal Systems	Environmental Information Processing	1.788	2.2	2.764	2.893
-Immune System	Environmental Information Processing	1.087	1.462	1.369	1.557
-Endocrine System	Environmental Information Processing	0.2424	0.2152	0.5474	0.4261
-Circulatory System	Environmental Information Processing	0.04364	0.05332	0.1571	0.1372
-Digestive System	Environmental Information Processing	0.162	0.1579	0.1761	0.1961
-Excretory System	Environmental Information Processing	0.1278	0.1333	0.3464	0.3141
-Nervous System	Environmental Information Processing	0.1818	0.1806	0.4525	0.4008
-Sensory System	Environmental Information Processing	0.02187	0.02086	0.02197	0.01211
-Development	Environmental Information Processing	0.157	0.1475	0.1553	0.1412
-Environmental Adaptation	Environmental Information Processing	0.04786	0.06882	0.1649	0.1292
