Numerator	Denominator	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
-DNA Maintenance	-Transcription	0.8916	1.186	4.252	0.8009	1.128	4.039	0.6966	0.9405	3.711	0.6375	0.8636	3.272	0.5975	0.8304	3.387
-RNA Family	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Transcription	1.07	2.053	3.306	0.9823	1.299	3.105	0.8304	1.031	2.632	0.7435	0.9208	2.229	0.5993	0.7655	1.923
-Signal Transduction	-Transcription	1.07	2.053	3.306	0.9823	1.299	3.105	0.8304	1.031	2.632	0.7435	0.9208	2.229	0.5993	0.7655	1.923
-Signaling Molecules and Interaction	-Transcription	0	0	0.07627	0	0	0.05092	0	0	0.0533	0	0	0.04886	0	0	0.03706
Cellular Processes	-Transcription	0.419	1.168	5.933	0.2945	0.6966	3.773	0.2617	0.7235	3.539	0.2487	0.7577	2.996	0.2491	0.723	2.103
-Hemoglobin	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Transcription	0.02699	0.03492	0.08662	0.01133	0.01552	0.03709	0.008664	0.01128	0.02879	0.007395	0.009605	0.02325	0.006838	0.009132	0.02293
-Cytoskeleton	-Transcription	0	0.1861	0.5123	0	0.1641	0.465	0	0.1437	0.3953	0	0.1331	0.3591	0	0.1232	0.3565
-Cell Motility	-Transcription	0	0.8456	5.191	0	0.2938	3.115	0	0.335	2.919	0	0.362	2.284	0	0.3219	1.239
-Cell Growth and Death	-Transcription	1.059e-05	0.2499	0.4441	7.703e-06	0.2606	0.4198	5.522e-06	0.2541	0.4653	4.878e-06	0.2051	0.4614	4.149e-06	0.2603	0.4873
-Cell Communication	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	-Transcription	32.58	43.77	107.3	32.07	45.52	109.2	29.74	40.08	102.8	30.08	40.31	97.9	27.65	37.9	95.57
-Membrane Transport	-Transcription	2.362	5.341	11.12	1.782	4.559	10.57	1.553	3.861	9.584	1.247	3.235	7.604	0.9523	2.506	6.089
-Central Carbon Metabolism	-Transcription	13.53	19.38	37.99	13.27	20.24	36.91	11.19	16.27	33.79	10.04	14.53	30.91	8.565	12.74	29.04
-Energy Metabolism	-Transcription	1.247	2.454	8.275	1.306	2.397	8.733	1.234	2.392	7.934	1.208	2.297	6.237	1.033	2.045	5.345
-Biosynthesis	-Transcription	7.847	12.19	29.68	8.081	13.66	31.62	7.943	13.46	33.08	9.094	15.85	37	9.37	16.17	38.84
-Other Enzymes	-Transcription	5.892	8.166	23.27	6.079	8.89	25.12	6.439	8.262	21.19	6.032	9.691	18.5	5.557	9.333	17.77
Organismal Systems	-Transcription	0	0	2.098	0	0	2.523e-05	0	0	1.835e-05	0	0	1.533e-05	0	0	1.391e-05
-Immune System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Circulatory System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Sensory System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	-Transcription	0	0	2.098	0	0	2.523e-05	0	0	1.835e-05	0	0	1.533e-05	0	0	1.391e-05
Human Diseases	-Transcription	0	0.09923	0.5445	0	2.277e-05	0.1963	0	1.655e-05	0.2082	0	1.389e-05	0.2174	0	1.253e-05	0.2569
-Cancers	-Transcription	0	0	0.5445	0	0	2.277e-05	0	0	1.655e-05	0	0	1.389e-05	0	0	1.253e-05
-Immune System Diseases	-Transcription	0	0	3.398e-05	0	0	2.523e-05	0	0	1.835e-05	0	0	1.533e-05	0	0	1.391e-05
-Neurodegenerative Diseases	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Infectious Diseases	-Transcription	0	0	0.2461	0	0	0.1963	0	0	0.2082	0	0	0.2174	0	0	0.2569
Not Mapped	-Transcription	10.79	13.96	34.63	8.189	11.22	26.82	7.145	9.3	23.74	6.738	8.752	21.18	6.304	8.419	21.14
-Not Mapped	-Transcription	10.79	13.96	34.63	8.189	11.22	26.82	7.145	9.3	23.74	6.738	8.752	21.18	6.304	8.419	21.14
TOTAL	-Translation	7.306	7.342	7.387	6.506	6.518	6.558	5.653	5.661	5.696	5.157	5.162	5.193	4.596	4.599	4.628
MAPPED	-Translation	6.435	6.467	6.506	5.824	5.834	5.871	5.103	5.109	5.141	4.682	4.686	4.714	4.172	4.175	4.201
Genetic Information Processing	-Translation	1.313	1.346	1.376	1.286	1.315	1.345	1.242	1.27	1.301	1.213	1.237	1.265	1.186	1.209	1.234
-Transcription	-Translation	0.02515	0.02792	0.06897	0.02544	0.02818	0.06953	0.0232	0.02572	0.06437	0.02242	0.02475	0.05946	0.02002	0.02222	0.05636
