KO number	eco Li complete	eco Li minimal	eco Li without methionine
hsa_G3V1Y1	NaN	NaN	NaN
hsa_O94805	NaN	NaN	NaN
hsa_Q562R1	NaN	NaN	NaN
hsa_Q562R3	NaN	NaN	NaN
hsa_B2RDG9	NaN	NaN	NaN
sce_YOL069W	NaN	NaN	NaN
sce_YGR113W	NaN	NaN	NaN
sce_YKR037C	NaN	NaN	NaN
hsa_Q9BYX7	NaN	NaN	NaN
hsa_Q7Z7J6	NaN	NaN	NaN
hsa_Q59GD5	NaN	NaN	NaN
sce_YGL093W	NaN	NaN	NaN
hsa_D3DNS0	NaN	NaN	NaN
hsa_F5H6T1	NaN	NaN	NaN
hsa_P61158	NaN	NaN	NaN
hsa_F8WB63	NaN	NaN	NaN
sce_YPL255W	NaN	NaN	NaN
sce_YML124C	NaN	NaN	NaN
hsa_Q96LK1	NaN	NaN	NaN
hsa_B3KUD3	NaN	NaN	NaN
K07374	NaN	NaN	NaN
hsa_R4GMT0	NaN	NaN	NaN
hsa_Q9H981	NaN	NaN	NaN
sce_YLR045C	NaN	NaN	NaN
hsa_B4DUI8	NaN	NaN	NaN
hsa_B4E3A4	NaN	NaN	NaN
sce_YML104C	NaN	NaN	NaN
hsa_B4E335	NaN	NaN	NaN
sce_YER016W	NaN	NaN	NaN
hsa_B4DW52	NaN	NaN	NaN
sce_YKR083C	NaN	NaN	NaN
hsa_P68133	NaN	NaN	NaN
hsa_P0CG38	NaN	NaN	NaN
hsa_P0CG39	NaN	NaN	NaN
hsa_Q8TC94	NaN	NaN	NaN
hsa_L0R5C4	NaN	NaN	NaN
hsa_F8W057	NaN	NaN	NaN
hsa_G5E9R0	NaN	NaN	NaN
hsa_Q8WVW5	NaN	NaN	NaN
hsa_Q9H9F9	NaN	NaN	NaN
hsa_Q9GZN1	NaN	NaN	NaN
hsa_B4DWQ5	NaN	NaN	NaN
sce_YIL144W	NaN	NaN	NaN
K03569	11304	2393	5570
sce_YML085C	NaN	NaN	NaN
hsa_A0AUL6	NaN	NaN	NaN
sce_YMR117C	NaN	NaN	NaN
hsa_Q96DE1	NaN	NaN	NaN
K10439	1714	780	1003
K03414	41	37	23
K02410	17	2	0.1
K02416	32	7	0.1
K02417	50	12	4
K02557	2	1	0.1
mpn_MPN453	NaN	NaN	NaN
K02406	75	157	9
K02411	11	2	0.1
K02412	4	1	0.1
K02418	2	1	0.1
K02419	6	1	0.1
K02420	2	1	0.1
K02421	2	2	0.1
K02400	7	2	0.1
K02401	2	1	0.1
K03516	6	2	0.1
K02409	15	1	0.1
K02394	13	8	0.1
K02386	30	9	0.1
K02393	13	7	0.1
K02387	78	21	8
K02388	83	17	0.1
