Rv2234	ptpA	K01104
Rv0417	thiG	K03149
Rv3340	metC	K01740
Rv0668	rpoC	K03046
Rv1594	nadA	K03517
Rv2940c	mas	K11628
Rv3825c	pks2	K12431
Rv3341	metA	K00641
Rv0066c	icd2	K00031
Rv3001c	ilvC	K00053
Rv2427c	proA	K00147
Rv1239c	corA	K03284
Rv0667	rpoB	K03043
Rv2157c	murF	K01929
Rv3826	fadD23	K12425
Rv0018c	pstP	K01090
Rv0154c	fadE2	K00249
Rv1640c	lysX	K04567
Rv2051c	ppm1	K03820
Rv2523c	acpS	K00997
Rv0864	moaC2	K03637
Rv1033c	trcR	K07672
Rv3270	ctpC	K12950
Rv1070c	echA8	K01692
Rvnt43	argU	K14219
Rv0936	pstA2	K02038
Rv2996c	serA1	K00058
Rv2152c	murC	K01924
Rv3012c	gatC	K02435
Rv3781	rfbE	K09691
Rv0589	mce2A	K02067
Rv1618	tesB1	K10805
Rv1968	mce3C	K02067
Rv1969	mce3D	K02067
Rv1212c	glgA	K16148
Rv3024c	trmU	K00566
Rv2486	echA14	K01692
Rv1617	pykA	K00873
Rv1611	trpC	K01609
Rv1612	trpB	K01696
Rv1613	trpA	K01695
Rv2785c	rpsO	K02956
Rv0062	celA1	K01179
Rv0806c	cpsY	K01784
Rv2246	kasB	K11609
Rv2247	accD6	K18472
Rv2245	kasA	K11609
Rv0630c	recB	K03582
Rv2241	aceE	K00163
Rv2467	pepN	K01256
Rv1625c	cya	K01768
Rv0534c	menA	K02548
Rv0709	rpmC	K02904
Rv1445c	devB	K01057
Rv1837c	glcB	K01638
Rv2361c	uppS	K14215
Rv3556c	fadA6	K00626
Rv2703	sigA	K03086
Rv2702	ppgK	K00886
Rv3494c	mce4F	K02067
Rv0429c	def	K01462
Rv3319	sdhB	K00240
Rv3318	sdhA	K00239
Rv0411c	glnH	K02030
Rv0969	ctpV	K12956
Rv3310	sapM	K01078
Rv3317	sdhD	K00242
Rv3316	sdhC	K00241
Rv3370c	dnaE2	K14162
Rv2071c	cobM	K05936
Rv0973c	accA2	K01965
Rv2594c	ruvC	K01159
Rv0170	mce1B	K02067
Rv0261c	narK3	K02575
Rv2089c	pepE	K01274
Rv2329c	narK1	K02575
Rv3291c	lrpA	K03719
Rv2412	rpsT	K02968
Rv2069	sigC	K03088
Rv1010	ksgA	K02528
Rv1283c	oppB	K02033
Rv0707	rpsC	K02982
Rv1689	tyrS	K01866
Rv1688	mpg	K03652
Rv1201c	dapD	K00674
Rv1475c	acn	K01681
Rv2064	cobG	K02229
Rv2065	cobH	K06042
Rvnt17	leuX	K14228
Rv1187	rocA	K00294
Rv1991c	mazF6	K07171
Rv2841c	nusA	K02600
Rv0491	regX3	K07776
Rv0490	senX3	K07768
Rv1263	amiB2	K01426
Rv3084	lipR	K01066
Rv0107c	ctpI	K12955
Rv3754	tyrA	K04517
Rv0511	hemD	K13542
Rv0815c	cysA2	K01011
Rvnt16	glnT	K14223
Rv3910	peptidoglycan	K03980
Rv1547	dnaE1	K02337
Rv0819	mshD	K15520
Rv0407	fgd1	K15510
Rv3366	spoU	K03216
Rv0362	mgtE	K06213
Rv3674c	nth	K10773
Rv2902c	rnhB	K03470
Rv1902c	nanT	K08178
Rv0211	pckA	K01596
Rv2992c	gltS	K01885
Rv0812	pabC	K02619
Rv2614c	thrS	K01868
Rv3646c	topA	K03168
Rv2062c	cobN	K02230
Rv1469	ctpD	K12951
Rv2249c	glpD1	K00111
