KO number	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
K09232	NaN	19800000	NaN	NaN	NaN	NaN	1622700	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9857700.1	NaN	NaN	5831500	6120000	NaN	NaN	NaN	1585900
K09236	12000000	3.02e+08	1.4e+08	5639200	5.03e+08	NaN	NaN	NaN	1021200	NaN	4200300	NaN	7425099.9	16400000	NaN	593060	6606799.9	NaN	NaN	1321600	711290	1438300	NaN	37400000	NaN	NaN	1755500	NaN
K09250	NaN	3019700	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	577049.99	1621500	NaN	484250	7618699.9	NaN	NaN	2769400	NaN	NaN	NaN
K09312	NaN	NaN	NaN	NaN	NaN	12000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09313	2745000	NaN	NaN	NaN	NaN	2465200	NaN	3175700	14700000	NaN	501010	NaN	NaN	9941999.9	NaN	NaN	NaN	NaN	NaN	NaN	4222200	NaN	1193700	NaN	248130	16100000	3965700.1	696920
K09355	19318600	14640300	16804900	17200000	35679300	21803800	12500000	16100000	71200000	1644100	1367900	1781300	2952900	8563600.1	2430800	851660.02	7079700.2	2914710	228740	54700000	7865700.1	734889.99	87179	35009600	3238800	6094150.2	20400000	423620
K09365	NaN	1878400	NaN	NaN	503279.99	107950	NaN	NaN	3264300	2219600	2413600	11500000	4219800	50100001	18100000	17900000	826049.98	2798700	NaN	8369099.8	3191700	4392300	1310400	1835000	2899300	9464899.8	379460	502899.99
K09377	8.8251326e+08	9.646766e+08	1.427934e+09	2.6270001e+08	4.2724507e+09	2.4499099e+09	2.194e+08	5.6759e+09	1.19e+08	4.7061481e+08	2.722e+09	3.5371531e+08	6.0664148e+08	9.2038269e+08	4.2481289e+08	2.504e+08	8.541e+08	2.9513324e+08	46827600	1.3057446e+09	4.3427264e+08	1.3354108e+08	1.462748e+08	5.2506e+09	8.4997344e+08	3.414054e+08	9.2577801e+08	3.9326395e+08
K09378	1584300	NaN	NaN	NaN	NaN	363100	NaN	NaN	7713000	847989.98	2907300	NaN	1038300	2138200	NaN	24400000	573390	NaN	NaN	NaN	NaN	NaN	8318200	15800000	NaN	NaN	NaN	186140
K09380	6093200.1	NaN	343660	NaN	NaN	NaN	NaN	NaN	1881300	NaN	NaN	31000000	60900002	NaN	5105000.1	2e+08	567209.98	NaN	423900	745770.01	NaN	NaN	NaN	4544400.1	NaN	368050.01	NaN	NaN
K09404	5934500	764330	576830	13400000	16700000	10400000	NaN	12800000	6724500	578810	417940	22000000	88963.998	2705800	913749.99	3542200	9063800.3	231830	NaN	NaN	3242900	341820	NaN	5360800	NaN	4826000	2111100	884200.03
K09409	936339.97	3723600	494940	2800700	NaN	3915900	NaN	NaN	25020210	NaN	NaN	1683900	263380	71028.003	NaN	NaN	NaN	NaN	NaN	NaN	416690	480230	957319.99	20400000	NaN	3253800	NaN	NaN
K09428	54157	NaN	NaN	1618800	NaN	7341900.2	NaN	NaN	NaN	341710	NaN	5409500	2910100	406740	662040	NaN	4535800	NaN	NaN	NaN	NaN	NaN	NaN	60700000	NaN	17800000	NaN	NaN
