Numerator	Denominator	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
-Central Carbon Metabolism	-DNA Maintenance	1.178	1.306	1.327	1.324
-Energy Metabolism	-DNA Maintenance	0.4259	0.4186	0.4784	0.3757
-Biosynthesis	-DNA Maintenance	1.048	0.8556	1.037	0.737
-Other Enzymes	-DNA Maintenance	5.71	5.446	5.738	4.919
Organismal Systems	-DNA Maintenance	2.583	2.507	2.65	2.608
-Immune System	-DNA Maintenance	0.4885	0.4777	0.6396	0.4495
-Endocrine System	-DNA Maintenance	0.421	0.4925	0.3733	0.4421
-Circulatory System	-DNA Maintenance	0.678	0.5475	0.781	0.6121
-Digestive System	-DNA Maintenance	0.01923	0.01983	0.01679	0.0201
-Excretory System	-DNA Maintenance	0.09626	0.08016	0.1537	0.07586
-Nervous System	-DNA Maintenance	0.1694	0.1532	0.2164	0.159
-Sensory System	-DNA Maintenance	0.001249	0.0009612	0.001587	0.0008017
-Development	-DNA Maintenance	0.3023	0.3058	0.3444	0.3424
-Environmental Adaptation	-DNA Maintenance	0.04241	0.03223	0.05427	0.02794
Human Diseases	-DNA Maintenance	7.659	8.211	6.996	8.419
-Cancers	-DNA Maintenance	0.3481	0.3884	0.3342	0.3632
-Immune System Diseases	-DNA Maintenance	1.167	1.268	0.8016	1.127
-Neurodegenerative Diseases	-DNA Maintenance	1.603	1.154	1.644	1.005
-Cardiovascular Diseases	-DNA Maintenance	1.387	1.616	0.9219	1.709
-Metabolic Diseases	-DNA Maintenance	0.3947	0.4668	0.3103	0.4209
-Infectious Diseases	-DNA Maintenance	5.079	5.638	4.724	6.183
Not Mapped	-DNA Maintenance	12.07	10.97	12.4	10.53
-Not Mapped	-DNA Maintenance	12.07	10.97	12.4	10.53
TOTAL	-RNA Family	Inf	Inf	Inf	Inf
MAPPED	-RNA Family	Inf	Inf	Inf	Inf
Genetic Information Processing	-RNA Family	Inf	Inf	Inf	Inf
-Transcription	-RNA Family	Inf	Inf	Inf	Inf
-Translation	-RNA Family	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-RNA Family	Inf	Inf	Inf	Inf
-DNA Maintenance	-RNA Family	Inf	Inf	Inf	Inf
-RNA Family	-RNA Family	NaN	NaN	NaN	NaN
Environmental Information Processing	-RNA Family	Inf	Inf	Inf	Inf
-Signal Transduction	-RNA Family	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-RNA Family	Inf	Inf	Inf	Inf
Cellular Processes	-RNA Family	Inf	Inf	Inf	Inf
-Crystallins	-RNA Family	NaN	NaN	NaN	NaN
-Stress Response	-RNA Family	NaN	NaN	NaN	NaN
-Vesicular Transport	-RNA Family	Inf	Inf	Inf	Inf
-Cytoskeleton	-RNA Family	Inf	Inf	Inf	Inf
-Cell Motility	-RNA Family	NaN	NaN	NaN	NaN
-Cell Growth and Death	-RNA Family	Inf	Inf	Inf	Inf
-Cell Communication	-RNA Family	Inf	Inf	Inf	Inf
Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Membrane Transport	-RNA Family	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Energy Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Biosynthesis	-RNA Family	Inf	Inf	Inf	Inf
-Other Enzymes	-RNA Family	Inf	Inf	Inf	Inf
Organismal Systems	-RNA Family	Inf	Inf	Inf	Inf
-Immune System	-RNA Family	Inf	Inf	Inf	Inf
-Endocrine System	-RNA Family	Inf	Inf	Inf	Inf
-Circulatory System	-RNA Family	Inf	Inf	Inf	Inf
-Digestive System	-RNA Family	Inf	Inf	Inf	Inf
-Excretory System	-RNA Family	Inf	Inf	Inf	Inf
-Nervous System	-RNA Family	Inf	Inf	Inf	Inf
-Sensory System	-RNA Family	NaN	NaN	NaN	NaN
-Development	-RNA Family	Inf	Inf	Inf	Inf
-Environmental Adaptation	-RNA Family	NaN	NaN	NaN	NaN
Human Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Cancers	-RNA Family	Inf	Inf	Inf	Inf
-Immune System Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Neurodegenerative Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Metabolic Diseases	-RNA Family	NaN	NaN	NaN	NaN
-Infectious Diseases	-RNA Family	Inf	Inf	Inf	Inf
Not Mapped	-RNA Family	Inf	Inf	Inf	Inf
-Not Mapped	-RNA Family	Inf	Inf	Inf	Inf
TOTAL	Environmental Information Processing	56.39	51.99	46.31	44.78
MAPPED	Environmental Information Processing	46.79	42.95	38.3	36.76
Genetic Information Processing	Environmental Information Processing	10.72	11.45	9.572	12.77
-Transcription	Environmental Information Processing	0.6655	0.7702	0.4447	0.6944
-Translation	Environmental Information Processing	3.441	3.897	2.52	3.788
-Folding, Sorting and Degradation	Environmental Information Processing	5.776	5.599	4.623	5.267
-DNA Maintenance	Environmental Information Processing	4.06	4.761	3.241	5.534
-RNA Family	Environmental Information Processing	0	0	0	0
Environmental Information Processing	Environmental Information Processing	1	1	1	1
-Signal Transduction	Environmental Information Processing	0.3374	0.2527	0.4091	0.215
-Signaling Molecules and Interaction	Environmental Information Processing	0.9445	0.9501	0.9482	0.9485
Cellular Processes	Environmental Information Processing	17.05	11.29	15.94	8.281
-Crystallins	Environmental Information Processing	0	0	0	0
-Stress Response	Environmental Information Processing	0	0	0	0
-Vesicular Transport	Environmental Information Processing	0.4457	0.3454	0.4659	0.3137
-Cytoskeleton	Environmental Information Processing	14.83	9.069	14.1	6.387
-Cell Motility	Environmental Information Processing	0	0	0	0
-Cell Growth and Death	Environmental Information Processing	0.8822	0.8809	0.7694	0.7827
-Cell Communication	Environmental Information Processing	0.8445	0.9453	0.6128	0.7529
Metabolism	Environmental Information Processing	6.598	6.706	5.2	5.671
-Membrane Transport	Environmental Information Processing	0.01416	0.01318	0.01088	0.009935
-Central Carbon Metabolism	Environmental Information Processing	2.477	2.666	1.953	2.197
-Energy Metabolism	Environmental Information Processing	0.8039	0.6987	0.6464	0.5839
-Biosynthesis	Environmental Information Processing	0.8734	0.8099	0.8831	0.7146
-Other Enzymes	Environmental Information Processing	2.903	2.883	2.878	2.46
Organismal Systems	Environmental Information Processing	2.248	2.107	2.201	2.346
-Immune System	Environmental Information Processing	0.5694	0.5922	0.5864	0.5868
-Endocrine System	Environmental Information Processing	0.4462	0.5303	0.2975	0.4501
-Circulatory System	Environmental Information Processing	0.6559	0.6752	0.4551	0.6842
-Digestive System	Environmental Information Processing	0.0353	0.03649	0.02397	0.03042
-Excretory System	Environmental Information Processing	0.1502	0.1153	0.1768	0.1061
-Nervous System	Environmental Information Processing	0.6221	0.5526	0.7015	0.5362
-Sensory System	Environmental Information Processing	0.003365	0.003116	0.002956	0.002928
-Development	Environmental Information Processing	0.336	0.3052	0.3157	0.3145
-Environmental Adaptation	Environmental Information Processing	0.133	0.1195	0.1167	0.1156
Human Diseases	Environmental Information Processing	7.841	9.012	5.05	8.838
-Cancers	Environmental Information Processing	0.4061	0.4041	0.3418	0.3525
-Immune System Diseases	Environmental Information Processing	0.5966	0.654	0.3788	0.6062
-Neurodegenerative Diseases	Environmental Information Processing	1.331	1.198	1.485	1.089
-Cardiovascular Diseases	Environmental Information Processing	1.319	1.456	0.7743	1.369
