KO number	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
K09169	2.6856494e+08	30613079	8.3032607e+08	89649560	34460809	2.3522413e+08	1.603499e+08	14343444	6808036.1	4.7458178e+08	5093096.4
K09170	1.3908902e+09	1.6358726e+08	2.6725904e+09	1.1176958e+09	9.6118902e+08	1.4103614e+09	8.62512e+08	63636500	69801780	3.906567e+09	2.9280404e+08
K09171	3.6720772e+08	1.2229358e+08	5.0334912e+08	1.4502773e+08	1.1432637e+08	8.5174983e+08	6.1442094e+08	1.1899564e+08	20164640	1.323749e+10	2.4357655e+08
K09173	6.4033683e+08	4.6584393e+08	1.2023488e+09	2.000517e+09	4.2702045e+08	6.6130662e+08	1.5788757e+09	2.1313565e+08	2.6901143e+08	7.1077382e+08	1.4613107e+08
K08061	1.0264383e+08	2.3802745e+08	79824335	1.0408132e+08	33317270	27426392	2.3487225e+08	15684152	27475225	1.9032551e+08	36065158
K09176	9.3163531e+08	1.6637156e+08	33668135	57171110	2.496791e+08	3.181646e+08	6.8607328e+08	93341462	46702519	1.9046849e+08	25736819
K09177	2.9082441e+08	21568201	1.481905e+08	2.9492666e+09	2.9850033e+08	2.0755118e+08	2.8086456e+08	27588533	44475860	4.3742344e+08	13365119
K09178	1.9722715e+08	62660489	3.7145416e+08	1.5006413e+09	82755338	2.7617206e+08	6.0644641e+08	1635563.2	1857.6034	26053527	658607.3
K08528	9699660	1857.6034	1857.6034	1857.6034	1477926.1	99340091	9.9404055e+08	19076759	2767044.8	723404.36	1857.6034
K08529	18848266	1857.6034	1857.6034	91029361	1857.6034	8695927.4	10893759	1857.6034	1857.6034	7478206.7	1857.6034
K08530	29058151	1857.6034	1857.6034	3988844.9	9774284.1	11653901	2934614.5	396657.3	1857.6034	1857.6034	14556595
K08535	24775773	1527774.3	84251433	3639348.7	42998214	1.8436983e+08	16437024	1531902.4	1548820.5	22245064	8581051.2
K08539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07292	25322716	4780779.3	25332827	31691942	1.3115019e+08	1.5440932e+08	1857.6034	8.8420036e+08	50160028	43869730	78033131
K08037	1857.6034	1857.6034	1857.6034	1857.6034	249696.03	19630116	1857.6034	1857.6034	1857.6034	1857.6034	6696080.1
K08524	79087366	98204294	6.9171152e+08	5.399955e+08	1.6251251e+08	1.3367992e+08	2.4800903e+08	77252367	1.7659702e+08	1.3077156e+08	1.4455054e+08
K08525	3.1053431e+08	2.4255327e+08	5.7670836e+08	6.6466869e+08	2.2866281e+08	3.6288492e+08	8.3025575e+08	39049552	62718958	4.5126337e+08	1.8644079e+08
K08543	25997043	2560338.8	3.1763928e+08	4026163.1	1815305.3	20343431	43024075	3861136.7	8.8497136e+08	1857.6034	9307899.6
K08544	33080666	3.3541263e+08	6.8095973e+08	1.5052511e+08	43822915	54620235	1.6962335e+08	67951473	46713064	1.9786386e+08	93709340
K08546	4.659322e+08	2.5921418e+09	1.1950894e+09	1.041195e+09	4.3369492e+08	4.5059107e+08	1.1668828e+09	7.5339324e+08	1.7990026e+09	4.5277374e+08	1.6515232e+09
K08547	19814397	37683774	1857.6034	27907493	30952956	18033347	53861618	1857.6034	28707291	14391702	9157128.5
K08548	1.7678454e+08	68239695	2.7611241e+08	6.6537273e+08	3.4486533e+08	3.6207176e+08	6.7550943e+08	2.2915975e+08	1.8341248e+08	5.7033534e+08	65000766
K08549	2.4044553e+08	7281090.8	94636984	5.211335e+08	1.1522353e+08	1.027203e+08	3.4061367e+08	49885960	1.1142758e+08	1.9801356e+08	65170630
K08552	90149637	16532537	62752511	2.7328514e+08	94436023	56434435	3.5681398e+08	20671987	62808296	1.4038666e+08	47706063
K08553	1857.6034	1857.6034	1857.6034	1.8038007e+08	42210935	1857.6034	39232442	797329.47	1339445.7	1857.6034	1857.6034
K08554	1857.6034	1857.6034	1857.6034	1857.6034	1857.6034	1857.6034	10227690	1857.6034	1857.6034	1857.6034	1857.6034
K05771	2.6629881e+08	56880931	4.5351321e+08	2.191987e+08	7.7062913e+08	7.7499846e+08	4.1219303e+08	1.5219147e+08	48520161	2.5046368e+08	13804790
K08556	18045163	29973481	1857.6034	27396595	1857.6034	38771355	34005936	1857.6034	4025438.4	2360487.3	3897399.8
K08557	29403940	21774698	1.1128422e+08	82094694	21802146	39658561	29124503	51496108	3.8634336e+08	1.4614968e+09	13770178
K08562	1857.6034	1857.6034	1857.6034	1857.6034	50640413	1857.6034	1857.6034	1857.6034	1003588.9	1857.6034	1609473
K09182	1.2670737e+08	2.048754e+08	92126756	1.4049181e+09	63608511	1.9569341e+08	1.050931e+08	7748110.6	2.412743e+09	1.029373e+09	2.044009e+08
K09183	1857.6034	27966684	1857.6034	1857.6034	1857.6034	13918263	2.0116965e+08	2435988.4	1857.6034	5710817.6	1857.6034
K09186	1.8869765e+09	7.5381831e+08	1.3648446e+09	1.6074749e+09	8.6108324e+08	1.4292134e+09	3.5491669e+09	1.6894937e+09	8.4883038e+08	1.9262714e+09	1.5458927e+09
K09187	1.6144936e+08	3.2822091e+08	7.9326467e+08	7.2486057e+08	5.7105252e+08	3.7636135e+08	1.5486607e+09	44507772	4.8447481e+08	7.1941903e+08	3.2240685e+08
K09188	1.0131403e+08	32869071	52248949	2.0702819e+08	31941629	1.5938072e+08	2.9306201e+08	10570155	74632482	61311571	26398479
K09189	1857.6034	11652085	5684550.3	1857.6034	1857.6034	1857.6034	1857.6034	1857.6034	3385658	1857.6034	2068516.2
K07466	5.7206483e+09	1.444032e+10	1.4688285e+10	1.2468242e+10	5.999538e+09	9.1478519e+09	3.4378893e+10	3.2666804e+09	5.0426611e+09	1.7807522e+10	3.047576e+09
K10779	2.2206316e+09	1.6252163e+09	5.9595963e+09	2.6733463e+09	2.6561702e+09	8.0097002e+09	5.5359892e+09	3.9959482e+08	5.1796681e+08	1.6511012e+10	8.2260414e+08
K04684	7.7869486e+08	8.2599372e+08	6.5103385e+08	8.762433e+08	4.6371445e+08	2.7309913e+08	1.4238069e+09	1.6338593e+08	7.1095634e+08	3.7485455e+08	2.1794665e+08
