K07263	PqqL:b1494
K02053	YdcV:b1443
K01918	PanC:b0133
K00558	Dcm:b1961
K07458	Vsr:b1960
eco_b1967	HchA:b1967
K02484	YedV:b1968
K01792	YeaD:b1780
K07780	AppY:b0564
K01355	OmpT:b0565
K11920	EnvY:b0566
K01914	AsnA:b3744
K01008	SelD:b1764
K01424	AnsA:b1767
K04773	SppA:b1766
K00262	GdhA:b1761
K03169	TopB:b1763
K14057	AbgR:b1339
K08369	YdjE:b1769
K08281	PncA:b1768
K01545	KdpF:b4513
K03658	HelD:b0962
K01734	MgsA:b0963
K06969	RlmI:b0967
K01512	YccX:b0968
K00632	FadI:b2342
K00950	FolK:b0142
K00970	PcnB:b0143
K03475	UlaA:b4193
K03476	UlaG:b4192
K02821	UlaC:b4195
K02822	UlaB:b4194
K03079	UlaE:b4197
K03078	UlaD:b4196
K03077	UlaF:b4198
K03579	HrpB:b0148
K05365	MrcB:b0149
K04019	EutA:b2451
