K02332	Pog1:SPCC24B10.22
spo_SPBC19G7.05c	Cps1:SPBC19G7.05c
K01803	Tpi1:SPCC24B10.21
K10258	SPBC646.07c:SPBC646.07c
K03237	Tif211:SPAC3G9.09c
K11996	SPAC2G11.10c:SPAC2G11.10c
K00276	Cao2:SPBC1289.16c
K13953	Adh1:SPCC13B11.01
K07750	Erg25:SPAC630.08c
K09829	Erg2:SPAC20G8.07c
K10739	Ssb2:SPCC1753.01c
K10753	Cia1:SPCC663.05c
K11436	Rmt3:SPBC8D2.10c
K00511	Erg1:SPBC713.12
K05543	Dus2:SPBC1709.06
K09827	Erg27:SPBC1709.07
K10736	Cdc23:SPBC1347.10
K14401	Cft1:SPBC1709.08
K02896	Rpl2403:SPAC22E12.13c
K11365	Sgf73:SPCC126.04c
K10958	Rhp57:SPAC20H4.07
K14546	SPAC20H4.01:SPAC20H4.01
K11866	Sst2:SPAC19B12.10
K01082	Tol1:SPCC1753.04
spo_SPAC9G1.06c	Cyk3:SPAC9G1.06c
K12870	Cwf12:SPBC32F12.05c
K01693	His5:SPBC21H7.07c
K00927	Pgk1:SPBC14F5.04c
K04554	Ubc6:SPAC10F6.05c
K09499	Cct7:SPBC25H2.12c
K14561	SPAC19A8.07c:SPAC19A8.07c
K00384	Trr1:SPBC3F6.03
K08489	Tlg2:SPAC823.05c
K03507	Rad4:SPAC23C4.18c
K04640	Gpa2:SPAC23H3.13c
K07972	Git5:SPBC32H8.07
K11262	Cut6:SPAC56E4.04c
K11092	SPBC1861.08c:SPBC1861.08c
K12869	Cwf4:SPBC31F10.11c
K02541	Mcm3:SPCC1682.02c
K14569	Bms1:SPBC31E1.06
K12815	Prp16:SPBC1711.17
K08736	Msh3:SPAC8F11.03
K00013	His2:SPBC1711.13
K01191	Ams1:SPAC513.05
K14007	SPAC22F8.08:SPAC22F8.08
K02960	Rps1601:SPBC18H10.14
K16055	SPAC22F8.05:SPAC22F8.05
K02732	Pam1:SPAC22F8.06
K07976	Spg1:SPAC1565.06c
K02989	Rps5:SPAC8C9.08
K08054	Cnx1:SPAC3C7.11c
K08508	Sec9:SPBC26H8.02c
K04627	Map3:SPAC3F10.10c
K07760	Srb10:SPAC23H4.17c
K01265	Fma2:SPBC14C8.03
K12593	SPACUNK4.11c:SPACUNK4.11c
K01883	SPAC29E6.06c:SPAC29E6.06c
K05757	Arc1:SPBC14C8.06
K01653	SPBC14C8.04:SPBC14C8.04
K12860	Cdc5:SPAC644.12
K13171	SPCC825.05c:SPCC825.05c
K02942	Rpp101:SPAC644.15
K14407	SPAC644.16:SPAC644.16
K01130	SPBPB10D8.02c:SPBPB10D8.02c
K02912	Rpl3201:SPBC16C6.11
K14319	Rna1:SPAC22E12.07
K02144	Vma13:SPAC7D4.10
K02975	Rps2502:SPAC694.05c
K11338	Rvb2:SPBC83.08
K11786	Snf22:SPCC1620.14c
spo_SPAC25B8.12c	SPAC25B8.12c:SPAC25B8.12c
K10703	SPBC19C2.15c:SPBC19C2.15c
K01958	Pyr1:SPBC17G9.11c
K01681	SPBP4H10.15:SPBP4H10.15
K02973	Rps2302:SPBP4H10.13
K03006	Rpb1:SPBC28F2.12
K01581	Spe1:SPAC144.04c
K02997	Rps902:SPBC29A3.12
K09494	Cct2:SPAC1D4.04
K11788	Ade1:SPBC405.01
K07901	Ypt2:SPAC9E9.07c
K13519	SPBC16A3.10:SPBC16A3.10
K10276	Epe1:SPCC622.16c
K00413	Cyt1:SPBC29A3.18
K00999	Pis1:SPAC1D4.08
K03135	Taf11:SPAC1002.04c
K03364	Srw1:SPAC144.13c
K08513	Syb1:SPAC6G9.11
K13535	SPAC6G10.03c:SPAC6G10.03c
K01090	Ptc2:SPCC1223.11
K13996	SPBC3D6.13c:SPBC3D6.13c
K00077	SPBPB2B2.09c:SPBPB2B2.09c
K01736	SPCC1223.14:SPCC1223.14
K03015	Rpb7:SPACUNK4.06c
K01483	SPAC19G12.04:SPAC19G12.04
K03124	SPAC16E8.16:SPAC16E8.16
K03259	Tif45:SPAC16E8.15
K11558	Spc25:SPCC188.04c
K14654	SPBC21C3.10c:SPBC21C3.10c
K11272	Mrc1:SPAC694.06c
K02941	Rpp0:SPCC18.14c
K08964	SPAC20H4.05c:SPAC20H4.05c
K00411	Rip1:SPBC16H5.06
K00850	Pfk1:SPBC16H5.02
K12613	Dcp2:SPAC19A8.12
K11093	Usp101:SPAC19A8.13
K01874	SPAC27E2.06c:SPAC27E2.06c
K02980	Rps29:SPBC1685.09
K02321	Spb70:SPCC553.09c
K04705	Hse1:SPBC1734.08
K01695	Trp2:SPAC19A8.15
K10627	Rhp18:SPBC1734.06
K05533	SPBC1734.04:SPBC1734.04
K11240	Pmp1:SPBC1685.01
K13939	SPBC1734.03:SPBC1734.03
K13280	Sec11:SPBC1685.03
K03022	Rpc25:SPBC2G5.07c
K13179	Has1:SPAC1F7.02c
K08681	SPAC222.08c:SPAC222.08c
K11768	Arp9:SPAC1071.06
K07975	Rho3:SPAC23C4.08
K02943	Rpp203:SPAC1071.08
K15918	Mug58:SPAC630.09c
K08832	Dsk1:SPBC530.14c
K12856	Spp42:SPAC4F8.12c
K01188	Psu1:SPAC1002.13c
K04078	Hsp10:SPCC550.06c
K00600	Shm2:SPAC18G6.04c
K10576	Ubc8:SPBC211.07c
K14318	SPBC13A2.02:SPBC13A2.02
K00981	SPBC13A2.03:SPBC13A2.03
K01487	SPCC1672.03c:SPCC1672.03c
K11592	Dcr1:SPCC188.13c
K09522	Zuo1:SPBC1778.01c
K11563	Spc7:SPCC1020.02
K01626	SPAP8A3.07c:SPAP8A3.07c
K10735	Sld5:SPBP4H10.21c
K11836	Ubp14:SPBC6B1.06c
K00789	Sam1:SPBC14F5.05c
K00838	SPAC56E4.03:SPAC56E4.03
spo_SPCC1739.11c	Cdc11:SPCC1739.11c
K11786	Snf21:SPAC1250.01
K06689	Ubc14:SPAC1250.03
K02324	Cdc20:SPBC25H2.13c
K02908	Rpl3002:SPAC1250.05
K12819	Slu7:SPBC365.05c
K03511	Mug40:SPCC553.07c
K02958	Rps1501:SPCC1393.03
K01663	His4:SPBC418.01c
K01078	Pho4:SPBC428.03c
K02729	Pup2:SPAC323.02c
K06269	Dis2:SPBC776.02c
K01951	Gua2:SPAP7G5.02c
K10696	Brl1:SPCC1919.15
K10747	Adl1:SPBC713.06
K13288	Rex2:SPBC1347.07
K00559	Erg6:SPBC16E9.05
K01802	FkbP39:SPBC1347.02
K01497	SPAP27G11.09c:SPAP27G11.09c
K09250	Byr3:SPAC13D6.02c
K00859	SPCC14G10.01:SPCC14G10.01
K12188	Dot2:SPBC651.05c
K00602	Ade10:SPCPB16A4.03c
K01775	Alr2:SPBC359.02
K04077	Mcp60:SPAC12G12.04
K00967	SPAC15E1.05c:SPAC15E1.05c
K11131	SPAC29A4.04c:SPAC29A4.04c
K02537	Mad2:SPBC20F10.06
K02958	Rps1502:SPAC1071.07c
K00164	SPBC3H7.03c:SPBC3H7.03c
K14559	SPAC23C11.03:SPAC23C11.03
K11128	Gar1:SPBC20F10.01
K14404	Yth1:SPAC227.08c
K12624	Lsm5:SPBC20F10.09
K03680	Tif224:SPAC21E11.06
K01529	Dbp8:SPBC543.06c
K01527	SPAC4F10.14c:SPAC4F10.14c
K11373	Iki3:SPBC36.07
K01738	Cys11:SPBC36.04
K04523	Dph1:SPAC26A3.16
K04393	Cdc42:SPAC110.03
K11267	Pds5:SPAC110.02
K03114	Wee1:SPCC18B5.03
K00222	Erg24:SPBC16G5.18
K12589	SPBC16G5.10:SPBC16G5.10
K10967	SPBC19C7.12c:SPBC19C7.12c
K01079	SPBC3H7.07c:SPBC3H7.07c
K03283	Ssa1:SPAC13G7.02c
K12666	SPAC27F1.07:SPAC27F1.07
spo_SPAC24B11.11c	Sid2:SPAC24B11.11c
K01955	Arg4:SPBC215.08c
K02901	Rpl2701:SPBC685.07c
K11368	Sus1:SPBC6B1.12c
K02880	rpl1701:SPBC2F12.04
K11251	Hta1:SPCC622.08c
K11426	Set6:SPBP8B7.07c
K03016	Rpb8:SPBC14C8.12
K02218	Cki1:SPBC1347.06c
K09880	SPAC644.08:SPAC644.08
K01098	Pct1:SPAC644.04
K14015	Npl4:SPBC1711.10c
K00784	TrzL:SPBC3D6.03c
K10877	Rdh54:SPAC22F3.03c
K11770	Sfh1:SPCC16A11.14
K08744	SPAC22A12.08c:SPAC22A12.08c
K06675	Cut3:SPBC146.03c
K10625	Ubr11:SPAC15A10.11
K08770	Ubi4:SPBC337.08c
K02870	Rpl1202:SPCC31H12.04c
K06173	Pus1:SPCC126.03
K02872	Rpl1601:SPBC839.13c
K05658	Pmd1:SPCC663.03
K09659	Dpm3:SPBC1677.02
K12877	SPBC3B9.08c:SPBC3B9.08c
K02924	Rpl39:SPCC663.04
K10727	Cdt1:SPBC428.18
K01740	SPBC428.11:SPBC428.11
K01533	Ccc2:SPBC29A3.01
K01870	SPCC18B5.08c:SPCC18B5.08c
