K03283	Ssa1:YAL005C
K03145	DST1:YGL043W
K14303	NUP120:YKL057C
K08507	USE1:YGL098W
K08737	MSH6:YDR097C
K03235	HEF3:YNL014W
K01783	RPE1:YJL121C
K04709	LAC1:YKL008C
K03539	RPP1:YHR062C
K00804	BTS1:YPL069C
K14237	tV(AAC)J:tV_AAC_J
K14237	tV(AAC)H:tV_AAC_H
K14789	NOP6:YDL213C
K01918	PAN6:YIL145C
K17782	MIA40:YKL195W
K10956	SEC61:YLR378C
K16230	HAC1:YFL031W
K14531	SNM1:YDR478W
K09481	SBH1:YER087C-B
K09248	PUT3:YKL015W
K07905	YPT32:YGL210W
K00968	PCT1:YGR202C
K18696	GDE1:YPL110C
K02139	ATP17:YDR377W
K16944	CDC3:YLR314C
sce_YNL126W	Spc98:YNL126W
K14228	SUP56:tL_CAA_A
K16261	AGP2:YBR132C
K01106	INP52:YNL106C
K08513	SNC2:YOR327C
K12781	MND2:YIR025W
K14225	tG(UCC)Q:tG_UCC_Q
K08286	RCK1:YGL158W
K00693	Gsy1:YFR015C
K16261	Bap2:YBR068C
K14708	SUL1:YBR294W
K02947	RPS10B:YMR230W
K03259	CDC33:YOL139C
K14225	SUF4:tG_UCC_G
K10735	SLD5:YDR489W
K11770	SFH1:YLR321C
K03267	SUP35:YDR172W
K04345	TPK2:YPL203W
K14224	tE(UUC)G3:tE_UUC_G3
K05749	Kre28:YDR532C
K10969	MNT3:YIL014W
K08286	FMP48:YGR052W
K14559	MPP10:YJR002W
K05530	VAN1:YML115C
K01164	POP1:YNL221C
K01719	HEM4:YOR278W
K12624	LSM5:YER146W
sce_YGL061C	Duo1:YGL061C
K03063	RPT3:YDR394W
K05767	IQG1:YPL242C
K03108	SRP72:YPL210C
K02332	MIP1:YOR330C
K09885	AQY2:YLL052C
K02258	Cox11:YPL132W
K14223	CDC65:tQ_CUG_M
K11788	ADE5:YGL234W
K00877	THI20:YOL055C
K08054	CNE1:YAL058W
K14218	tA(AGC)M2:tA_AGC_M2
K10863	HNT3:YOR258W
K05755	ARC19:YKL013C
K14284	MEX67:YPL169C
K00844	Hxk1:YFR053C
K00413	Cyt1:YOR065W
K12345	DFG10:YIL049W
K05663	ATM1:YMR301C
K03138	TFG1:YGR186W
K01634	DPL1:YDR294C
K14309	NIC96:YFR002W
K02218	YCK1:YHR135C
K10866	RAD50:YNL250W
K08139	Hxt2:YMR011W
K03514	PAP2:YOL115W
K10592	TOM1:YDR457W
K11230	SSK2:YNR031C
K02961	MRPS17:YMR188C
K14234	TRT2:tT_CGU_K
K17777	TIM9:YEL020W-A
K14770	BUD21:YOR078W
K06176	PUS7:YOR243C
K14709	ZRT2:YLR130C
K01094	GEP4:YHR100C
K02946	RSM10:YDR041W
K07432	ALG13:YGL047W
K15728	Pah1:YMR165C
K11672	ARP5:YNL059C
K00850	PFK2:YMR205C
K14233	tS(AGA)E:tS_AGA_E
K14233	tS(AGA)B:tS_AGA_B
K01647	CIT2:YCR005C
K00002	ADH7:YCR105W
K14233	tS(AGA)A:tS_AGA_A
K11367	CHD1:YER164W
K14233	tS(AGA)L:tS_AGA_L
K02976	RPS26B:YER131W
K14233	tS(AGA)J:tS_AGA_J
K14233	tS(AGA)H:tS_AGA_H
K14017	SNL1:YIL016W
K15505	RAD5:YLR032W
K14811	DBP3:YGL078C
K03687	MGE1:YOR232W
K00814	ALT1:YLR089C
K01953	ASN1:YPR145W
K10415	PAC11:YDR488C
K00033	GND2:YGR256W
K01526	GDA1:YEL042W
K14228	tL(CAA)K:tL_CAA_K
K02885	RPL19B:YBL027W
K18342	OTU2:YHL013C
K16302	MAM3:YOL060C
K14229	tK(CUU)F:tK_CUU_F
K15437	ARC1:YGL105W
K08333	VPS15:YBR097W
K09503	YDJ1:YNL064C
K00555	TRM1:YDR120C
